"doc_id","term","freq"
"2","activ","1"
"2","allevi","1"
"2","alter","1"
"2","analyz","1"
"2","anim","1"
"2","antagonist","1"
"2","associ","1"
"2","avoid","1"
"2","behavior","4"
"2","block","2"
"2","catalepsi","1"
"2","catalept","1"
"2","caus","1"
"2","cav","1"
"2","central","1"
"2","cognit","1"
"2","compound","1"
"2","coumarin","1"
"2","deriv","1"
"2","detriment","1"
"2","differ","2"
"2","dimethylfraxetin","2"
"2","disord","1"
"2","dopaminerg","1"
"2","effect","3"
"2","evalu","1"
"2","except","1"
"2","extract","3"
"2","field","1"
"2","forc","1"
"2","fst","2"
"2","glutamaterg","2"
"2","hal","2"
"2","haloperidol","1"
"2","haloperidolinduc","1"
"2","herniarin","2"
"2","hyperlocomot","1"
"2","icr","1"
"2","impair","1"
"2","increment","1"
"2","induc","1"
"2","interact","5"
"2","isol","2"
"2","ket","3"
"2","ketamin","2"
"2","lucida","4"
"2","main","1"
"2","medicin","1"
"2","mexico","1"
"2","mice","1"
"2","nervous","1"
"2","oft","1"
"2","open","1"
"2","passiv","1"
"2","pat","1"
"2","plant","2"
"2","present","1"
"2","provok","1"
"2","psychosi","2"
"2","psychot","1"
"2","relat","1"
"2","rodent","1"
"2","schizophrenialik","1"
"2","secondari","1"
"2","separ","1"
"2","sit","1"
"2","social","2"
"2","stereotyp","1"
"2","substanc","1"
"2","swim","1"
"2","symptom","1"
"2","system","2"
"2","taget","2"
"2","test","3"
"2","tlaq","3"
"2","tlea","3"
"2","tlhex","1"
"2","tlmet","2"
"2","treatment","1"
"2","two","1"
"2","use","1"
"2","work","1"
"3","activ","1"
"3","associ","2"
"3","central","1"
"3","disord","1"
"3","induc","1"
"3","mice","2"
"3","open","1"
"3","present","1"
"3","provok","1"
"3","treatment","1"
"3","use","1"
"3","addit","1"
"3","adenosin","4"
"3","adult","2"
"3","agonist","1"
"3","allow","2"
"3","also","1"
"3","analysi","1"
"3","antagon","1"
"3","astrocyt","4"
"3","brain","2"
"3","casup","2"
"3","channel","1"
"3","character","1"
"3","circuit","1"
"3","clear","1"
"3","close","2"
"3","coeffici","1"
"3","complet","1"
"3","connect","2"
"3","contrast","1"
"3","correct","2"
"3","cortex","3"
"3","critic","2"
"3","defin","1"
"3","definit","1"
"3","depress","2"
"3","describ","1"
"3","determin","1"
"3","develop","3"
"3","development","1"
"3","direct","1"
"3","disappear","2"
"3","drive","1"
"3","dynam","1"
"3","educ","1"
"3","either","1"
"3","end","1"
"3","entri","1"
"3","establish","2"
"3","event","1"
"3","evid","1"
"3","exhibit","2"
"3","express","1"
"3","facilit","2"
"3","form","4"
"3","found","4"
"3","fulfil","2"
"3","furthermor","1"
"3","glutam","1"
"3","imped","1"
"3","import","1"
"3","induct","2"
"3","investig","1"
"3","involv","1"
"3","longterm","2"
"3","loss","3"
"3","ltd","2"
"3","ltp","2"
"3","ltype","1"
"3","matur","2"
"3","maturationrel","1"
"3","may","1"
"3","mechan","5"
"3","mediat","1"
"3","messeng","1"
"3","mglur","1"
"3","mous","1"
"3","neural","2"
"3","neurodevelopment","1"
"3","neuron","2"
"3","nitric","1"
"3","nmdar","1"
"3","observ","1"
"3","oxid","1"
"3","pairedpuls","1"
"3","period","2"
"3","persist","1"
"3","physiolog","2"
"3","plastic","7"
"3","play","1"
"3","polici","1"
"3","postnat","2"
"3","postsynapt","2"
"3","presynapt","4"
"3","probabl","3"
"3","protocol","1"
"3","provid","1"
"3","receptor","1"
"3","recov","1"
"3","recoveri","1"
"3","refin","4"
"3","releas","1"
"3","reorder","2"
"3","repair","1"
"3","requir","2"
"3","respons","3"
"3","result","1"
"3","role","2"
"3","rolebsignific","1"
"3","sensori","1"
"3","sex","1"
"3","signal","1"
"3","slice","1"
"3","somatosensori","3"
"3","spike","2"
"3","stage","1"
"3","statement","1"
"3","sub","2"
"3","subr","2"
"3","sup","5"
"3","suppli","1"
"3","suprd","2"
"3","supth","1"
"3","switch","2"
"3","synaps","3"
"3","synapt","5"
"3","thereaft","2"
"3","timingdepend","2"
"3","tltd","8"
"3","tltp","4"
"3","transmiss","1"
"3","type","1"
"3","under","2"
"3","variat","1"
"3","voltagedepend","1"
"3","week","3"
"3","window","2"
"3","wit","1"
"4","alter","2"
"4","associ","2"
"4","caus","1"
"4","cognit","1"
"4","disord","1"
"4","effect","1"
"4","impair","2"
"4","induc","1"
"4","mexico","1"
"4","present","2"
"4","provok","1"
"4","system","1"
"4","addit","1"
"4","also","1"
"4","clear","1"
"4","close","1"
"4","loss","1"
"4","result","2"
"4","stage","1"
"4","accompani","1"
"4","advanc","1"
"4","affect","1"
"4","calori","1"
"4","can","2"
"4","capac","1"
"4","challeng","1"
"4","chemic","1"
"4","chronic","3"
"4","ckd","7"
"4","combin","1"
"4","common","1"
"4","complain","1"
"4","damag","1"
"4","declin","1"
"4","decreas","1"
"4","defici","4"
"4","deficit","4"
"4","detect","2"
"4","deterior","1"
"4","diabet","1"
"4","dialysi","1"
"4","differenti","1"
"4","discrimin","1"
"4","discuss","1"
"4","diseas","3"
"4","due","1"
"4","econom","1"
"4","electrolyt","1"
"4","endocrin","1"
"4","epithelium","1"
"4","filtrat","1"
"4","food","1"
"4","function","6"
"4","glomerular","1"
"4","gradual","1"
"4","health","1"
"4","hemodialysi","1"
"4","high","2"
"4","hyperprolactinemia","1"
"4","hypertens","1"
"4","identif","1"
"4","imbal","1"
"4","impact","1"
"4","improv","1"
"4","inflamm","1"
"4","inflammatori","3"
"4","intak","2"
"4","interconnect","1"
"4","kidney","3"
"4","lead","3"
"4","level","1"
"4","like","2"
"4","link","1"
